,In-degree,Out-degree,Betweenness,Closeness,Eigenvector
oats23,31.0,49.00000000000001,5.225308370481132e-05,0.4591490456346144,0.013265425962960004
cdphe,215.0,30.0,0.0005359108445430931,0.5573146422737014,0.06363355374206421
dalailama,108.0,0.0,0.0,0.518772964890522,0.02425032652095982
foxtheatreco,80.0,10.0,2.0319992784340105e-05,0.4897360703812317,0.026241512671340207
aclu,189.99999999999997,19.0,0.0010308018023859986,0.5554222326225174,0.046861259469408244
senwarren,263.0,9.0,0.0005402011776831329,0.5969775456471949,0.06492154683763494
davidaxelrod,115.99999999999999,31.0,0.0010875687513883787,0.5238489912164335,0.03054633085513462
stephenathome,218.0,2.0,6.59184069632855e-05,0.5789016215435485,0.05320622533903246
neiltyson,161.0,1.0,1.388804963354549e-05,0.5466869964244309,0.03668663773218711
jessieciulla,9.0,46.0,2.3456299324212474e-05,0.4307356089725645,0.003469110430103589
julieklundquist,27.0,107.0,0.0001492121260280286,0.4585055291025406,0.009963729310916714
stacyfeldmanbrl,84.0,269.0,0.0015027111507157633,0.48754649033481784,0.029584748752443314
dcwoodruff,161.0,91.0,0.0009547560128402303,0.5328073208707863,0.05322964760615813
ryanbonick,35.0,63.0,5.378351211838108e-05,0.45594940071730006,0.014401239874416917
beckymasond,47.99999999999999,140.0,0.00018790248902877225,0.4650230206320722,0.018496618607708144
safeboulder,86.0,77.0,0.0004051226484853545,0.48682097472420055,0.02600163722317574
sierraclubipg,38.0,42.0,2.5326023426087555e-05,0.46734813573523254,0.015977538845510567
brendanjkelley,16.0,63.0,0.00018480945761435117,0.4453964533896021,0.006402924592692639
folkertslauren,10.0,19.0,4.2162601224861916e-06,0.4076556947223212,0.0037742306788279795
bonh_coalition,93.99999999999999,295.0,0.003101952018751442,0.49342940424534354,0.027510700644859644
marceelias,62.0,14.0,0.00022441494073914949,0.49305756596030564,0.015546960816235324
ossoff,106.0,27.0,0.0014122866824126518,0.5103645788060261,0.02393727930946136
taylorswift13,70.0,0.0,0.0,0.4960300835876873,0.018029221898374585
ilhanmn,163.0,28.999999999999996,0.0009599378395888597,0.542077373677983,0.039996993429136075
maddowblog,87.0,14.0,0.0003330054681003266,0.5119619640292062,0.021424325760547123
coloradopols,132.0,25.0,0.000401099752435042,0.5272259387826959,0.0444867290844844
aoc,341.0,41.0,0.004285585367871684,0.6427184577891213,0.07882653811085256
rashidatlaib,121.0,28.999999999999996,0.0019194223678224767,0.5234299120234605,0.030429812695914462
acosta,132.0,34.0,0.006306518128719303,0.5319409675035167,0.03450427111408946
hillaryclinton,252.0,17.0,0.0017076933870664413,0.5942664759576072,0.06392634286287277
jysexton,39.0,22.0,8.077258501634002e-05,0.45882706173164484,0.008774708556385114
noaa,64.0,2.0,0.002932390719430167,0.5044621357203743,0.017420408064109875
