ELECTION,PRECINCT,AGE,VOTERS,VOTED,TURNOUT,CYCLE
2000,2181007849,25-34,1.0,1.0,1.0,Even
2000,2181007849,35-44,1.0,1.0,1.0,Even
2000,2181007849,45-54,,0.0,,Even
2000,2181007849,55-64,,0.0,,Even
2000,2181007849,65+,,0.0,,Even
2000,2181007850,18-24,5.0,3.0,0.6,Even
2000,2181007850,25-34,29.0,25.0,0.8620689655172413,Even
2000,2181007850,35-44,73.0,69.0,0.9452054794520548,Even
2000,2181007850,45-54,71.0,69.0,0.971830985915493,Even
2000,2181007850,55-64,63.0,62.0,0.9841269841269841,Even
2000,2181007850,65+,34.0,34.0,1.0,Even
2000,2181007851,18-24,1.0,1.0,1.0,Even
2000,2181007851,25-34,12.0,10.0,0.8333333333333334,Even
2000,2181007851,35-44,18.0,16.0,0.8888888888888888,Even
2000,2181007851,45-54,54.0,52.0,0.9629629629629629,Even
2000,2181007851,55-64,151.0,149.0,0.9867549668874173,Even
2000,2181007851,65+,140.0,139.0,0.9928571428571429,Even
2000,2181007852,18-24,7.0,6.0,0.8571428571428571,Even
2000,2181007852,25-34,28.0,21.0,0.75,Even
2000,2181007852,35-44,69.0,67.0,0.9710144927536232,Even
2000,2181007852,45-54,58.0,55.0,0.9482758620689655,Even
2000,2181007852,55-64,40.0,39.0,0.975,Even
2000,2181007852,65+,15.0,15.0,1.0,Even
2000,2181007853,18-24,7.0,5.0,0.7142857142857143,Even
2000,2181007853,25-34,24.0,19.0,0.7916666666666666,Even
2000,2181007853,35-44,50.0,45.0,0.9,Even
2000,2181007853,45-54,36.0,36.0,1.0,Even
2000,2181007853,55-64,18.0,17.0,0.9444444444444444,Even
2000,2181007853,65+,10.0,9.0,0.9,Even
2000,2181307854,18-24,4.0,3.0,0.75,Even
2000,2181307854,25-34,17.0,16.0,0.9411764705882353,Even
2000,2181307854,35-44,39.0,37.0,0.9487179487179487,Even
2000,2181307854,45-54,43.0,43.0,1.0,Even
2000,2181307854,55-64,15.0,15.0,1.0,Even
2000,2181307854,65+,7.0,6.0,0.8571428571428571,Even
2000,2181307855,18-24,6.0,3.0,0.5,Even
2000,2181307855,25-34,24.0,19.0,0.7916666666666666,Even
2000,2181307855,35-44,45.0,38.0,0.8444444444444444,Even
2000,2181307855,45-54,28.0,26.0,0.9285714285714286,Even
2000,2181307855,55-64,15.0,13.0,0.8666666666666667,Even
2000,2181307855,65+,8.0,7.0,0.875,Even
